
ID;Cliente;Pto;Eta;Nave;Contenedor;Status;Sello;Med;Carga;PESO TOTAL;Terminal;Fecha Liberaci�n;Hora Liberaci�n;Fecha programaci�n;Hora Programaci�n;FECHA ARRIBO EN CD;Hora;CD;FechaDesg. (WHATSAPP/ Otawero);HoraDesg;FechaDev;EIR;Agencia;CiaNaviera / LINEA;DepDev;DiasLibres;DEMURRAGE;Sobrestadia Regi�n (x ciclo 2 horas);Sobreestadia (x ciclo de 4 hora);Description;Almc;Dias extras de almacenaje;E.CHASIS;TipodeServicio;ServicioAdicional;OBS 1;OBS 2;SERVICIO DIRECTO;FECHA ACT;HORA ACT;;;;;NAVES CON CONSIDERACI�N;;;;;;;;;;;;;;
1;WALMART;PCE;05/08/2025;MSC CAMEROON;TLLU 337965-6;FINALIZADO;FX36392611;20 ST;3546,5;7047;PCE;12-08-25;22:00;19/08/2025;12:00;19/08/2025;12:00;CD Puerto Madero;19/08/2025;14:50;19/08/2025;SI;SERRANO;MSC;Medlog Walmart;6;11/08/2025;;;75% COTTON & 25% POLYEST;7;-3;0;Indirecto dep�sito;HABILITACI�N NOCTURNA;;;;17-09-25;9:00;;;;;RIO DE JANEIRO EXPRESS;;;;;;;;;;;;;;
2;WALMART;PCE;05/08/2025;MSC CAMEROON;MEDU 431402-3;FINALIZADO;FX36664439;40 HC;3109;6609;PCE;09-08-25;22:11;12/08/2025;10:00;12/08/2025;3:48;CD El Pe��n;12/08/2025;10:00;12/08/2025;SI;SERRANO;MSC;Medlog Walmart;6;04/09/2025;;;COTTON TERRY TOWEL;3;-7;0;Indirecto dep�sito;HABILITACI�N NOCTURNA;;;;;;;;;;GUAYAQUIL EXPRESS;;;;;;;;;;;;;;
3;WALMART;PCE;05/08/2025;MSC CAMEROON;MSDU 274636-5;FINALIZADO;FX36603501;20 ST;4743;8243;PCE;12-08-25;18:12;14/08/2025;15:00;14/08/2025;12:30;CD El Pe��n;14/08/2025;14:00;18/08/2025;SI;SERRANO;MSC;Medlog Walmart;6;04/09/2025;;;BATHMAT;2;-8;0;Indirecto dep�sito;N/A;;;;;;;;;;CMA CGM LEGACY;;;;;;;;;;;;;;
4;WALMART;PCE;05/08/2025;MSC CAMEROON;MEDU 453658-7;FINALIZADO;FX36395314;40 HC;8808,5;12309;PCE;08-08-25;14:04;12/08/2025;0:00;11/08/2025;22:46;CD El Pe��n;12/08/2025;0:00;12/08/2025;SI;SERRANO;MSC;Medlog Walmart;6;04/09/2025;;;COTTON TERRY TOWEL;4;-6;0;Indirecto dep�sito;N/A;;;;;;;;;;COSCO SHIPPING VOLGA;;;;;;;;;;;;;;
5;WALMART;PCE;05/08/2025;MSC CAMEROON;MSDU 416871-2;FINALIZADO;FX36362414;40 HC;5895,5;9396;PCE;09-08-25;22:08;12/08/2025;17:00;12/08/2025;12:17;CD El Pe��n;12/08/2025;17:00;13/08/2025;SI;SERRANO;MSC;Medlog Walmart;6;04/09/2025;;;COTTON TERRY TOWEL;3;-7;0;Indirecto dep�sito;DEV SCL DIA SIGUIENTE;;;;;;;;;;CMA CGM GANGES;;;;;;;;;;;;;;
6;WALMART;PCE;05/08/2025;MSC CAMEROON;MEDU 677233-9;FINALIZADO;FX36612399;20 ST;1979;5479;PCE;12-08-25;18:10;14/08/2025;7:00;13/08/2025;23:12;CD El Pe��n;14/08/2025;7:00;14/08/2025;SI;SERRANO;MSC;Medlog Walmart;6;04/09/2025;;;GARMENT;2;-8;0;Indirecto dep�sito;N/A;;;;;;;;;;CHARLOTTE MAERSK;;;;;;;;;;;;;;
7;WALMART;STI;07/08/2025;MAJESTIC;FSCU 594291-0;FINALIZADO;004VA694413;40 HR ;23236,5;26737;PCE;22-08-25;13:00;23/08/2025;11:00;23/08/2025;11:00;CD Quilicura;23/08/2025;14:00;23/08/2025;SI;SERRANO;ONE LINE;SITRANS SAI;6;13/08/2025;;;FRESH AVOCADO;1;-9;0;Reefer;SOBREPESO;;NO CONECTAR LUEGO DE RETIRADO/ RETIR� Y PASO DIRECTO;;;;;;;;;;;;;;;;;;;;;;
8;WALMART;STI;07/08/2025;MAJESTIC;CGMU 529919-7;FINALIZADO;;40 HR ;25472;28972;CONTOPSA SAI;14-08-25;13:00;15/08/2025;22:30;15/08/2025;21:34;CD Quilicura;16/08/2025;2:10;16/08/2025;SI;SERRANO;CMA-CGM;Tesco SAI;6;17/08/2025;;;;1;-9;0;Reefer;SOBREPESO+(1)CONEXI�N + DEVOLUCION D�A SIGUIENTE;;;;;;;;;;;;;;;;;;;;;;;;
9;WALMART;STI;07/08/2025;MAJESTIC;CGMU 552569-5;FINALIZADO;;40 HR ;25480;28980;CONTOPSA SAI;14-08-25;13:00;16/08/2025;6:00;16/08/2025;5:47;CD Quilicura;16/08/2025;8:00;16/08/2025;SI;SERRANO;CMA-CGM;Tesco SAI;6;17/08/2025;;;;2;-8;0;Reefer;SOBREPESO + 1 conexion;;;;;;;;;;;;;;;;;;;;;;;;
10;WALMART;STI;07/08/2025;MAJESTIC;CXRU 114604-2;FINALIZADO;;40 HR ;24077;27577;CONTOPSA SAI;18-08-25;13:00;19/08/2025;14:30;19/08/2025;14:30;CD Quilicura;19/08/2025;17:30;19/08/2025;SI;SERRANO;CMA-CGM;DYC Vap;6;17/08/2025;;;;1;-9;0;Reefer;SOBREPESO;;;;;;;;;;;;;;;;;;;;;;;;
